category,institution,city,state,type
TCU,Navajo Technical University,Crownpoint,NM,Public 4yr
AANAPISI & HSI,Nevada State College,Henderson,NV,Public 4yr
AANAPISI & HSI,New Hope Christian College-Eugene,Eugene,OR,Private 4yr
HSI,New Jersey City University,Jersey City,NJ,Public 4yr
HSI,New Mexico Highlands University,Las Vegas,NM,Public 4yr
HSI,New Mexico Institute of Mining and Technology,Socorro,NM,Public 4yr
HSI,New Mexico State University-Main Campus,Las Cruces,NM,Public 4yr
AANAPISI,New York College of Health Professions,Syosset,NY,Private 4yr
AANAPISI,New York Institute of Technology,Old Westbury,NY,Private 4yr
HBCU,Norfolk State University,Norfolk,VA,Public 4yr
HBCU,North Carolina A & T State University,Greensboro,NC,Public 4yr
HBCU,North Carolina Central University,Durham,NC,Public 4yr
PBI,North Carolina Wesleyan College,Rocky Mount,NC,Private 4yr
HSI,North Park University,Chicago,IL,Private 4yr
AANAPISI,North Seattle College,Seattle,WA,Public 4yr
HSI,Northeastern Illinois University,Chicago,IL,Public 4yr
NASNTI,Northeastern State University,Tahlequah,OK,Public 4yr
HSI,Northern Arizona University,Flagstaff,AZ,Public 4yr
AANAPISI,Northern Marianas College,Saipan,MP,Public 4yr
HSI,Northern New Mexico College,Espanola,NM,Public 4yr
TCU,Northwest Indian College,Bellingham,WA,Public 4yr
AANAPISI,Notre Dame de Namur University,Belmont,CA,Private 4yr
HSI,Notre Dame de Namur University,Belmont,CA,Private 4yr
AANAPISI & HSI,Nova Southeastern University,Fort Lauderdale,FL,Private 4yr
TCU,Nueta Hidatsa Sahnish College,New Town,ND,Public 4yr
HSI,Nyack College,New York,NY,Private 4yr
HBCU,Oakwood University,Huntsville,AL,Private 4yr
HSI,Odessa College,Odessa,TX,Public 4yr
TCU,Oglala Lakota College,Kyle,SD,Public 4yr
HSI,Oklahoma Panhandle State University,Goodwell,OK,Public 4yr
NASNTI,Oklahoma State University Institute of Technology,Okmulgee,OK,Public 4yr
AANAPISI,Otis College of Art and Design,Los Angeles,CA,Private 4yr
HSI,Ottawa University-Phoenix,Phoenix,AZ,Private 4yr
HSI,Ottawa University-Surprise,Surprise,AZ,Private 4yr
HSI,Our Lady of the Lake University,San Antonio,TX,Private 4yr
AANAPISI,Pacific Islands University,Mangilao,GU,Private 4yr
HSI,Pacific Oaks College,Pasadena,CA,Private 4yr
ANNH,Pacific Rim Christian University,Honolulu,HI,Private 4yr
AANAPISI & ANNH,Pacific Rim Christian University,Honolulu,HI,Private 4yr
AANAPISI & HSI,Pacific Union College,Angwin,CA,Private 4yr
AANAPISI,Pacific University,Forest Grove,OR,Private 4yr
HBCU,Paine College,Augusta,GA,Private 4yr
HSI,Palm Beach State College,Lake Worth,FL,Public 4yr
AANAPISI & HSI,Palo Alto University,Palo Alto,CA,Private 4yr
HBCU,Paul Quinn College,Dallas,TX,Private 4yr
PBI,Peirce College,Philadelphia,PA,Private 4yr
HBCU,Philander Smith College,Little Rock,AR,Private 4yr
AANAPISI,Pierce College District,Lakewood,WA,Public 4yr
HSI,Pillar College,Newark,NJ,Private 4yr
HSI,Pima County Community College - East Campus,Tucson,AZ,NULL
HSI,Polk State College,Winter Haven,FL,Public 4yr
HSI,Polytechnic University of Puerto Rico-Miami,Miami,FL,Private 4yr
HSI,Polytechnic University of Puerto Rico-Orlando,Orlando,FL,Private 4yr
HSI,Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,Private 4yr
HSI,Pontifical Catholic University of Puerto Rico-Mayaguez,Mayaguez,PR,Private 4yr
HSI,Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,Private 4yr
AANAPISI,Portland State University,Portland,OR,Public 4yr
HBCU,Prairie View A & M University,Prairie View,TX,Public 4yr
AANAPISI,Presbyterian Theological Seminary in America,Santa Fe Springs,CA,Private 4yr
HSI,Providence Christian College,Pasadena,CA,Private 4yr
HSI,Pueblo Community College,Pueblo,CO,Public 4yr
HSI,Remington College-Dallas Campus,Garland,TX,Private 4yr
HSI,Remington College-North Houston Campus,Houston,TX,Private 4yr
AANAPISI & HSI,Resurrection University,Chicago,IL,Private 4yr
HSI,Rhode Island College,Providence,RI,Public 4yr
HSI,Rio Hondo College,Whittier,CA,Public 4yr
NASNTI,Rogers State University,Claremore,OK,Public 4yr
HSI,Roosevelt University,Chicago,IL,Private 4yr
HBCU,Rust College,Holly Springs,MS,Private 4yr
AANAPISI,Rutgers University-Camden,Camden,NJ,Public 4yr
AANAPISI & HSI,Rutgers University-Newark,Newark,NJ,Public 4yr
HSI,Saint Augustine College,Chicago,IL,Private 4yr
HBCU,Saint Augustine's University,Raleigh,NC,Private 4yr
HSI,Saint Edward's University,Austin,TX,Private 4yr
HSI,Saint Elizabeth University,Morristown,NJ,Private 4yr
AANAPISI,Saint Martin's University,Lacey,WA,Private 4yr
AANAPISI & HSI,Saint Mary's College of California,Moraga,CA,Private 4yr
HSI,Saint Peter's University,Jersey City,NJ,Private 4yr
HSI,Saint Xavier University,Chicago,IL,Private 4yr
TCU,Salish Kootenai College,Pablo,MT,Public 4yr
HSI,Sam Houston State University,Huntsville,TX,Public 4yr
HSI,San Diego Christian College,Santee,CA,Private 4yr
AANAPISI & HSI,San Diego Mesa College,San Diego,CA,Public 4yr
AANAPISI & HSI,San Diego State University,San Diego,CA,Public 4yr
AANAPISI & HSI,San Francisco State University,San Francisco,CA,Public 4yr
HSI,San Jacinto Community College,Pasadena,TX,Public 4yr
AANAPISI & HSI,San Jose State University,San Jose,CA,Public 4yr
HSI,San Juan Bautista School of Medicine,Caguas,PR,Private 4yr
HSI,Santa Ana College,Santa Ana,CA,Public 4yr
HSI,Santa Monica College,Santa Monica,CA,Public 4yr
HBCU,Savannah State University,Savannah,GA,Public 4yr
HSI,Schreiner University,Kerrville,TX,Private 4yr
AANAPISI,Seattle Central College,Seattle,WA,Public 4yr
